sit	octal	total	clade	geography
653	477777604020771	2	LAM9	NLD(2)
753	477777607760771	12	LAM9	BRA(1) GUF(1) MWI(2) NLD(1) USA(2) ZAF(1) ZWE(4)
1762	477777637413071	2	EAI3_IND	GUF(1) MTQ(1)
865	477777677413071	3	EAI3_IND	USA(3)
654	477777737413071	4	EAI3_IND	IND(1) NLD(2) USA (1)
1930	477777737760771	2	T1	ITA(2)
414	477777767413071	12	EAI3_IND	GUF(1) IND(1) MYS(1) NLD(3) USA (6)
1652	477777774020771	2	H1	IDN(1) VNM(1)
415	477777774137771	14	U	IND(6) NZL(3) USA (5)
341	477777775413031	2	EAI5	GBR(2)
113	477777776413071	4	EAI3_IND	FXX(3) IND(1)
1515	477777777403771	3	U	MDG(3)
629	477777777410071	3	U	GBR(1) IND(1) USA (1)
1467	477777777410771	2	CAS	MWI(2)
625	477777777412071	4	EAI5	GBR(1) NLD(1) USA (2)
626	477777777412771	2	EAI5	USA (2)
355	477777777413031	20	EAI5	DNK(1) FXX(1) GBR(5) IND(1) MUS(1) MYS(2) NLD(1) USA (8)
11	477777777413071	237	EAI3_IND	AUS(1) AUT(4) BEL(2) BGD(14) CUB(1) DEU(2) DNK(17) FXX(2) GBR(39) GLP(1)GUF(4) IDN(1) IND(34) IRN(1) MYS(17) NLD(20) NZL(6) PAK(2) SWE(1) USA(68)
1369	477777777413671	2	EAI5	GBR(1) MYS(1)
1182	477777777413731	2	EAI1_SOM	SWE(2)
126	477777777413771	35	EAI5	BEL(1) BGD(4) DNK(3) GBR(15) IND(4) MDG(1) MYS(1) NLD(4) SEN(1) SWE(1)
655	477777777720771	18	H3	BEL(1) FXX(1) IDN(6) NLD(3) USA (7)
783	477777777760731	6	T2	FXX(1) MYS(3) USA (2)
804	477777777760771	11	T1	AUT(1) DNK(1) IND(1) ITA(1) SWE(1) USA(1) USA (2) ZWE(3)
12	500036777760771	3	X3	GLP(2) USA (1)
13	500066777760771	2	X3	GLP(2)
14	500076777760771	33	X3	GLP(25) GUF(3) MTQ(1) USA(3) VEN(1)
1319	500367740003771	2	CAS2	IND(2)
1323	503767740003671	2	CAS1_DELHI	IND(2)
754	503777740003771	2	CAS1_DELHI	GBR(1) IRN(1)
79	517347606060661	2	LAM11_ZWE	ZWE(2)
1385	537767776760631	2	T1	ARM(2)
360	540377777720771	4	H3	AUT(4)
304	540777757760771	3	T5	USA (3)
85	557757606060771	2	LAM11_ZWE	ZWE(2)
887	557767777720771	2	H3	USA (2)
597	567777777420771	2	H4	IRN(2)
525	570777637743671	2	AFRI_1	GNB(2)
318	570777777777671	3	AFRI_1	CIV(1) GNB(2)
861	574067606767071	2	AFRI_2	CMR(2)
860	574067607777071	2	AFRI_2	CIV(1) CMR(1)
319	574077607777071	9	AFRI_2	CIV(1) CMR(3) POL(1) USA(4)
1269	574777777420771	2	H4	RUS(1) USA(1)
104	576167400000171	2	U (LAM3?)	ESP(2)
1354	576177607760771	2	LAM3	ITA(2)
1211	576377777760771	2	S	MEX(1) USA(1)
1581	577477777420771	2	H4	DEU(1) USA (1)
1936	577677077760771	2	T1	SWE(1) TUR(1)
300	577727674413671	2	EAI4_VNM	DNK(2)
793	577736777760601	2	X2	USA (2)
1433	577737757413771	2	EAI6_BGD1	BGD(2)
361	577737777420771	4	H4	AUT(2) IRN(1) TUR(1)
1272	577737777760571	2	T3	HTI(1) USA(1)
1924	577747404760671	3	LAM7_TUR	EGY(1) ITA(2)
87	577757606060771	2	LAM11_ZWE	ZWE(2)
301	577767777413631	3	EAI5	DNK(3)
1732	577767777413731	4	EAI1_SOM	DNK(4)
1317	577767777760671	2	T1	IND(1) ROM(1)
1318	577767777760771	6	T1	EGY(1) GUF(1) IND(4)
1638	577767777763771	2	MANU2	CHN(2)
1402	577770050000000	2	U	BGD(2)
1285	577776755412731	2	EAI6_BGD1	NOR(2)
1744	577776770000000	2	U	ITA(2)
476	577776777760601	2	X2	GBR(1) USA (1)
1618	577777000000011	3	ZERO	USA(2) VNM(1)
788	577777002060771	3	T1	NLD(1) SWE(1) USA(1)
656	577777377420771	2	H4	IRN(1) NLD(1)
1739	577777377760700	2	T1	GUF(1) ITA(1)
1921	577777407560731	2	T2	ITA(2)
15	577777600360771	2	T1	GLP(2)
1792	577777607720771	2	H3	BEL(2)
866	577777607760771	18	LAM9	BRA(1) FXX(2) GNB(1) ITA(9) USA (4) VEN(1)
543	577777677561771	2	U	USA (2)
755	577777677720771	2	H3	ARG(1) USA(1)
1079	577777703760771	3	T1	IDN(2) MYS(1)
1398	577777740003771	2	U	BGD(2)
1798	577777744020771	2	H1	BEL(2)
1418	577777750003771	4	U	BGD(4)
1436	577777757403771	3	U	BGD(3)
882	577777757413771	17	EAI6_BGD1	BGD(12) GEO(1) ITA(1) MYS(1) USA (2)
417	577777770060771	2	T1	USA (2)
1155	577777774020771	2	H1	BRA(1) USA (1)
1731	577777774413771	2	EAI4_VNM	DNK(2)
1632	577777776000371	2	U	AUT(1) USA(1)
16	577777777413071	4	EAI5 or EAI3	DNK(2) GBR(2)
477	577777777413731	10	EAI1_SOM	AUS(1) DNK(3) IND(1) MYS(1) NLD(1) USA (3)
1900	577777777413770	2	EAI5	VNM(2)
380	577777777413771	2	EAI5	AUS(1) AUT(1)
127	577777777420771	48	H4	AUS(1) AUT(9) DEU(7) FXX(1) GBR(1) IRN(19) ITA(1) NLD(5) RUS(1) SWE(1) USA (2)
1115	577777777700000	3	U	AUT(3)
1360	577777777720631	3	H3	ITA(3)
294	577777777720771	11	H3	AUT(1) DEU(3) GBR(1) HTI(1) IDN(1) MYS(1) NLD(1) USA(2)
1301	577777777760601	3	T1	IND(1) ZAF(2)
1302	577777777760731	8	T2	CMR(1) ITA(6) ZAF(1)
