sit	octal	total	clade	geography
347	777736777760601	16	X2	GBR(2) GUF(1) ITAS(1) NZL(2) USA(8) ZAF(2)
348	777736777760671	7	X1	GBR(2) USA(1) ZAF(4)
1081	777736777760731	2	X1	IDN(1) USA (1)
217	777736777760771	15	X1	AUS(1) GBR(1) MEX(2) USA(11)
1641	777737177760771	2	T3	FXX(1) PAK(1)
1160	777737207760771	3	LAM5	USA (2) VEN(1)
1133	777737347760471	2	T4_CEU1	AUT(1) USA (1)
503	777737377760731	3	T2-T3	CZE(1) GLP(1) USA (1)
442	777737377760771	4	T3	USA (4)
1879	777737400413731	2	EAI1_SOM	IND(2)
367	777737404760771	5	LAM7_TUR	AUT(2) DNK(1) NLD(1) TUR(1)
1227	777737557760771	6	T5_MAD2	DEU(1) ESP(4) USA(1)
562	777737600000000	6	U	MEX(1) MYS(1) USA(4)
1471	777737606060771	7	LAM11_ZWE	MWI(5) ZMB(2)
1522	777737606063771	2	MANU2	MDG(2)
1709	777737606760771	2	LAM5-LAM8	USA (1) VEN(1)
1646	777737607020771	4	H3-LAM5	FXX(4)
885	777737607460771	2	LAM5	USA (2)
867	777737607560731	5	LAM5-LAM6	USA (5)
176	777737607560771	16	LAM5	BRA(1) CAF(1) GUF(2) USA (12)
605	777737607700031	20	U	USA (1) VEN(19)
579	777737607700171	2	U	USA (2)
443	777737607700771	41	U	BEL(3) BRA(1) USA (36) VEN(1)
606	777737607760000	4	U	FXX(1) VEN(3)
1710	777737607760731	3	LAM4	BRA(1) NLD(1) VEN(1)
725	777737607760770	8	LAM5	ARG(8)
93	777737607760771	188	LAM5	ARG(2) AUS(1) BRA(13) DEU(3) ESP(2) FXX(1) GLP(7) GUF(2) HTI(15) ITA(14) ITAS(1) NLD(1) USA(44) VEN(82)
504	777737737760771	7	T3	FXX(1) ITAS(1) USA (5)
726	777737747413771	7	EAI5	AUS(1) NLD(3) SWE(2) USA(1)
1165	777737757420771	3	H4	RUS(1) USA (2)
112	777737761760771	5	T3	FXX(5)
1927	777737764020771	2	H1	AUT(1) ITA(1)
56	777737770000000	13	U (likely T3)	BEL(1) FIN(3) FXX(7) GLP(1) USA(1)
563	777737770000071	5	U	FXX(1) USA (4)
1054	777737770020731	7	H3	CAF(5) FXX(1) USA (1)
727	777737774020731	5	H1	NLD(1) POL(1) USA (2) VEN(1)
218	777737774020771	14	H1	AUT(3) BEL(1) ESP(1) IDN(1) NLD(1) RUS(1) USA (5) ZWE(1)
564	777737774413771	10	EAI4_VNM	NOR(2) THA(1) USA (3) VNM(4)
617	777737776413771	2	EAI5	USA (1) VNM(1)
1191	777737776760731	2	T2-T3	VNM(2)
349	777737777413731	11	EAI1_SOM	BGD(1) GBR(2) USA (8)
618	777737777413771	6	EAI5	FXX(1) NLD(1) THA(1) USA (1) VNM(2)
1134	777737777420731	27	H4	ARM(2) AUT(1) GEO(5) RUS(18) USA (1)
35	777737777420771	74	H4	ARG(1) ARM(3) AUT(13) AZE(3) BEL(1) CHN(1) CZE(3) DEU(2) ESP(1) EST(2) FIN(4) GBR(2) GLP(1) IRN(2) JPN(2) KAZ(3) LVA(1) MEX(1) NLD(1) POL(2) RUS(18) USA (6) ZAF(1)
1291	777737777423771	3	MANU2	RUS(2) USA (1)
929	777737777620771	2	H3	FIN(1) GBR(1)
1135	777737777720731	3	H3	AUT(1) FXX(1) HUN(1)
36	777737777720771	43	H3-T3	ARG(1) AUS(3) AUT(4) BRA(1) CZE(2) DEU(5) FIN(2) FXX(3) GUF(1) ITA(2) LBY(4) MTQ(1) NLD(4) POL(1) SAU(1) TUN(1) USA (5) VEN(1) VNM(1)
728	777737777760431	2	T3	NLD(2)
157	777737777760471	7	T3	DEU(1) ITA(2) PRT(4)
158	777737777760601	3	T3	ITA(2) ZAF(1)
565	777737777760671	4	T3	MEX(1) USA (3)
505	777737777760700	10	T3	BRA(1) FXX(1) HTI(4) ITA(1) USA (3)
1426	777737777760711	2	T3	BGD(1) GBR(1)
73	777737777760731	114	T2-T3	AUS(1) AUT(5) BEL(3) BRA(4) EGY(7) FIN(1) FXX(9) GEO(3) GLP(1) GNB(1) GUF(6) HTI(1) IDN(4) ITA(22) MDG(3) MEX(1) MOZ(2) MTQ(1) NLD(2) PRT(3) SWE(1) USA(27) VEN(1) VNM(4) ZWE(1)
37	777737777760771	155	T3	AUS(2) AUT(12) BEL(3) BRA(3) CAN(5) CHN(2) CIV(1) CUB(5) CZE(8) DEU(4) DNK(17) DZA(1) EST(1) ETH(1) FIN(5) FXX(8) GBR(1) GEO(1) GLP(1) GUF(1) HTI(1) IDN(1) IRN(4) ITA(2) ITAS(1) LBY(1) LVA(1) MDG(3) NLD(11) NZL(2) PAK(1) POL(4) SAU(2) SWE(6) THA(1) TUR(1) USA(26) VEN(1) ZWE(4)
583	777737777763771	2	MANU2	FXX(2)
1570	777740000000000	3	U	IDN(1) MYS(1) USA(1)
1259	777740000160771	2	T1	RUS(1) USA (1)
444	777740001760771	23	T1	AUT(3) DEU(1) GEO(1) KAZ(1) RUS(1) USA(16)
264	777740003760771	40	T1	DEU(1) GEO(8) LVA(3) POL(6) RUS(17) USA (5)
1686	777740004020771	2	H1	AUT(1) BRA(1)
1136	777740004720771	7	H3	AUT(6) USA(1)
1161	777740007760531	2	T2	USA (2)
803	777740007760771	24	T1	ARM(2) BEL(1) CHN(1) EST(2) GEO(5) LVA(1) POL(1) RUS(7) SWE(1) USA (1) VNM(2)
1485	777740007763771	3	MANU2	RUS(3)
1137	777740015760771	4	T1	AUT(4)
1228	777740017760731	2	T2	AUS(1) MEX(1)
159	777740017760771	54	T1 (Tuscany variant)	ARG(10) AUS(1) AUT(8) DEU(1) EST(2) FXX(1) ITA(23) ITAS(3) LVA(1) MEX(1) USA (3)
1565	777740077760771	5	T1	AUT(3) POL(1) SWE(1)
1714	777740607760771	2	LAM9	VEN(2)
566	777740777760731	6	T2	USA (6)
219	777740777760771	30	T1	PER(2) USA(28)
379	777741017760771	15	T1	ARG(12) BRA(1) FXX(1) VEN(1)
959	777741777413731	2	EAI1_SOM	GBR(1) USA (1)
189	777741777760771	8	T1	CUB(2) FIN(1) PER(1) SWE(1) USA (3)
220	777742777760601	7	X2	USA (7)
1432	777743300000000	2	U	BGD(2)
1229	777743777720771	3	H3	AUT(1) POL(1) USA(1)
913	777743777760771	10	T1	AUT(2) CHN(2) FIN(1) MWI(1) SWE(1) USA (2) VEN(1)
1721	777746777760771	3	X1	DNK(3)
808	777747606060771	2	LAM11_ZWE	ZWE(2)
1503	777747757413271	2	EAI6_BGD1	MYS(2)
1416	777747757413771	2	EAI6_BGD1	BGD(1) VNM(1)
1504	777747777413671	2	EAI5	MYS(2)
445	777756777760601	9	X2	USA (9)
302	777756777760771	28	X1	DNK(18) GBR(1) ITA(2) KEN(4) MDG(1) NLD(1) NOR(1)
82	777757606060731	4	LAM11_ZWE	ZWE(4)
1505	777757607760671	2	LAM9	MYS(2)
1176	777757607760771	11	LAM9	ARG(1) EST(1) GEO(3) IDN(4) MDG(1) NLD(1)
1446	777757677420771	5	H4	GEO(5)
1506	777757757413271	3	EAI6_BGD1	MYS(3)
1414	777757757413371	2	EAI6_BGD1	BGD(1) USA (1)
1507	777757757413771	2	EAI6_BGD1	MYS(2)
1230	777757774020771	3	H1	ARG(1) NLD(1) USA(1)
730	777757777413731	2	EAI1_SOM	IND(2)
1508	777757777413771	2	EAI5	MYS(2)
1457	777757777420771	15	H4	GEO(15)
1748	777757777620771	5	H3	DEU(5)
764	777757777720771	4	H3	BEL(1) NLD(1) SEN(1) VNM(1)
83	777757777760671	2	T1	ZWE(2)
393	777757777760771	16	T1	ARG(1) CHN(1) DNK(1) EGY(1) EST(1) FXX(3) GEO(1) ITA(1) SWE(1) USA(4) VNM(1)
1451	777760000000000	8	U	GEO(7) RUS(1)
1240	777760001760771	2	T1	LVA(1) USA (1)
506	777760003760771	3	T1	MEX(1) RUS(1) USA (1)
254	777760007760771	92	T5_RUS1	AUT(10) AZE(2) BEL(2) DEU(2) DNK(1) ESP(1) FIN(1) FXX(1) GEO(9) KAZ(1) LVA(6) NLD(1) POL(1) RUS(50) SAU(1) USA (3)
567	777760007763771	5	MANU2	RUS(3) USA (2)
446	777760016760601	18	T1	USA(1) USA (17)
1737	777760017760771	11	T1	ITA(9) USA(1) ZAF(1)
1324	777760047760771	2	T1	IND(1) USA (1)
1268	777760057760771	6	T5	IND(2) MYS(1) PAK(1) USA(2)
1738	777760063760771	5	T1	ITA(5)
765	777760077760771	5	T1	DEU(1) NLD(1) USA (3)
447	777760377760771	5	T1	AUT(1) USA (4)
766	777761007760771	11	T1	EST(5) FIN(2) FXX(1) NLD(1) PRT(1) ZAF(1)
1325	777761050000771	2	U	IND(2)
731	777761607760771	5	LAM9	BEL(1) FXX(1) ITA(1) NLD(2)
1844	777763607760771	3	LAM9	ARG(3)
1533	777763777720771	2	H3	AUT(1) ESP(1)
732	777763777760771	9	T1	ARG(4) AUT(1) USA (4)
842	777766770000000	6	U	CMR(5) ITA(1)
185	777766777760601	11	X2	BRA(1) DNK(3) FXX(2) GLP(1) USA (4)
221	777766777760771	7	X1	LBY(1) USA(6)
186	777767404760771	3	LAM7_TUR	EGY(1) FXX(2)
568	777767477760771	3	H37Rv	THA(1) USA (2)
1195	777767477763771	2	MANU2	IND(2)
311	777767570020731	2	H3	CAF(2)
1066	777767607560771	5	LAM6	DZA(1) GUF(1) SWE(1) USA(1) VEN(1)
1750	777767607760731	3	LAM4	ITA(1) PRT(2)
150	777767607760771	65	LAM9	ARG(6) BEL(22) BRA(3) DZA(1) EGY(1) FIN(1) FXX(8) GUF(2) ITA(3) ITAS(1) MAR(1) MEX(1) PRT(9) RUS(1) USA (1) VEN(4)
1053	777767637760771	2	T1	EGY(1) FXX(1)
841	777767643760771	3	LAM10_CAM	CMR(3)
173	777767677760771	6	T1	FXX(4) TUR(1) USA (1)
1679	777767737760771	4	T1	DEU(1) MDG(3)
114	777767741760771	2	T1	FXX(2)
115	777767743760771	21	LAM10_CAM	BRB(1) CMR(11) FXX(8) ITA(1)
1913	777767757760771	2	T5	FXX(1) GLP(1)
569	777767760000000	4	U	CZE(2) USA (2)
1656	777767770000000	3	U	EGY(1) IDN(2)
1055	777767770020720	4	H3	CAF(3) GBR(1)
312	777767770020731	9	H3	CAF(6) CMR(2) FXX(1)
610	777767774020731	3	H1	BEL(1) FXX(2)
151	777767774020771	15	H1	ARG(1) AUT(1) CAF(2) CUB(2) EGY(1) FXX(3) HTI(1) ITA(1) POL(1) PRT(1) SWE(1)
1720	777767774413771	2	EAI4_VNM	DNK(2)
1138	777767774760771	4	T1	AUT(3) ITA(1)
116	777767775720771	2	H3	FXX(2)
1687	777767775760771	2	T1	BRA(1) USA (1)
870	777767776760731	2	T2	USA (2)
862	777767777360731	2	T2	CMR(2)
303	777767777413331	2	EAI1_SOM	DNK(2)
1251	777767777413731	2	EAI1_SOM	DNK(1) NOR(1)
611	777767777560771	2	T1	FXX(1) GNB(1)
1802	777767777720631	3	H3	FXX(2) GLP(1)
835	777767777720671	2	H3	FXX(2)
448	777767777720731	10	H3	CMR(2) FXX(1) PRT(2) USA (5)
75	777767777720771	29	H3	ARG(3) BRA(1) CMR(5) DEU(1) FXX(7) GLP(2) HTI(1) HUN(1) MDG(1) MEX(1) PRT(1) ROM(2) USA (3)
834	777767777740771	4	U	FXX(2) IDN(1) PRT(1)
1754	777767777760601	5	T1	PRT(5)
879	777767777760671	4	T1	ARG(1) FXX(1) RUS(1) USA (1)
117	777767777760731	14	T1	ARG(1) CAF(2) CMR(3) DNK(1) FXX(6) ROM(1)
118	777767777760771	76	T2	ARG(5) AUT(1) AZE(1) BRA(1) CAF(2) CMR(1) CZE(4) DEU(1) DNK(2) EGY(1) FIN(1) FXX(21) GUF(1) IDN(1) IND(2) ITA(4) ITAS(1) KAZ(1) MDG(1) MTQ(1) POL(1) PRT(2) SWE(1) TUR(2) USA (8) VEN(9)
1088	777767777763771	6	MANU2	IND(5) PRT(1)
1778	777770000000371	2	U	BEL(1) KEN(1)
1204	777770000000731	3	U	LBY(1) USA (2)
1767	777770007760771	2	T1	KEN(1) RUS(1)
1075	777770607760771	3	LAM9	FXX(1) MAR(1) USA(1)
1178	777771000000731	2	U	GNB(1) NLD(1)
1071	777771607760771	4	LAM9	MAR(4)
903	777772777760601	3	X2	USA(3)
84	777773604060731	2	LAM11_ZWE	ZWE(2)
1832	777773607760771	7	LAM9	ARG(5) NZL(2)
570	777773776760771	2	T1	USA (2)
767	777773777413700	3	EAI5	GBR(1) ITA(1) NLD(1)
1105	777773777760771	5	T1	CHN(1) PER(1) USA (3)
313	777774003760731	2	T2	CAF(2)
869	777774047560771	3	T1	USA (3)
1231	777774057760771	2	T5	USA(2)
1576	777774063560771	2	T1	USA(2)
1232	777774077560731	3	T2	USA(3)
222	777774077560771	11	T1	ESP(3) MEX(1) PER(1) USA (6)
906	777774177720771	4	H3	USA (4)
1678	777774377720771	2	H3	MDG(2)
1873	777774606060731	2	LAM11_ZWE	USA(1) ZWE(1)
1884	777774777000171	2	U	AUT(1) SAU(1)
809	777775606060771	3	LAM11_ZWE	ZWE(3)
733	777775747413771	5	EAI5	IND(3) NLD(1) USA (1)
1340	777775757413371	4	EAI6_BGD1	GUF(4)
571	777775774020771	2	H1	USA (2)
1571	777775774413771	2	EAI4_VNM	NLD(1) USA(1)
840	777775777720771	3	H3	CMR(2) SWE(1)
584	777775777760731	7	T2	FXX(2) NLD(2) SWE(3)
281	777775777760771	13	T1	AUS(4) BEL(1) ESP(2) FXX(1) IND(2) NLD(1) PAK(1) SAU(1)
507	777776037760771	2	T1	USA (1) USA (1)
1828	777776207760771	3	LAM9	ARG(1) NZL(2)
223	777776377760601	5	T1	USA(5)
508	777776377760771	5	T1	GBR(1) USA(4)
572	777776407360601	4	X2	THA(1) USA (3)
38	777776407760601	125	X2	GBR(3) IND(3) USA (119)
1614	777776607760700	2	X1-LAM9	USA(2)
1470	777776607760771	5	X1-LAM9	MWI(1) USA(2) ZAF(2)
350	777776617760601	5	X2	AUT(1) GBR(4)
1564	777776737760571	4	X1	POL(2) RUS(2)
282	777776747760601	2	X2	AUS(2)
1438	777776757413371	3	EAI6_BGD1	BGD(2) USA(1)
1341	777776757760601	10	X2	USA(10)
449	777776757760771	6	X1	USA(6)
450	777776770000000	57	U	CMR(19) CZE(3) DNK(1) FXX(1) ITA(1) MEX(5) NLD(1) USA(26)
1527	777776774020771	3	H1-X1	DEU(1) SWE(1) USA (1)
1532	777776775760771	2	X1	ESP(1) USA(1)
224	777776776360711	8	X1	USA(8)
1179	777776776360771	2	X1	HND(1) USA (1)
886	777776776760601	2	X2	USA (2)
1254	777776777060771	3	X1	NLD(1) RUS(1) USA(1)
576	777776777360771	19	X1	USA (19)
734	777776777411731	3	U	AUS(1) IDN(2)
735	777776777413731	3	EAI1_SOM	DNK(1) NLD(2)
1717	777776777460771	2	X1	AUS(1) VEN(1)
1329	777776777560771	32	X1	USA (1) ZAF(31)
351	777776777600171	19	U	GBR(14) NLD(4) USA(1)
1246	777776777720771	8	H3	CAN(7) EST(1)
1531	777776777760071	2	U	ESP(2)
878	777776777760571	8	X1	AUT(2) BEL(1) EGY(1) GBR(1) LBY(1) TUR(1) USA (1)
137	777776777760601	720	X2	AUS(5) BRA(7) BRB(1) CAN(11) CMR(7) DNK(15) ESP(5) FXX(1) GBR(55) GUF(2) HTI(1) ITA(3) LBY(1) MEX(1) MYS(1) NLD(9) PRT(1) SAU(1) SWE(2) USA(584) ZAF(7)
225	777776777760611	4	X1	FXX(1) USA (3)
1394	777776777760671	4	X1	BGD(3) FXX(1)
1459	777776777760700	2	X1	GEO(1) USA (1)
1080	777776777760701	5	X1	IDN(2) ITA(1) USA(2)
352	777776777760711	11	X1	GBR(2) IDN(1) NZL(2) USA (6)
336	777776777760731	37	X1	DNK(1) GBR(5) ITA(2) MDG(1) MEX(2) RUS(2) SWE(5) USA(12) ZAF(7)
1823	777776777760770	2	X1	ARG(1) DEU(1)
119	777776777760771	659	X1	?(1) AUT(2) BEL(1) BRA(10) CAN(7) DNK(1) ESP(2) FIN(1) FXX(4) GBR(25) GNB(1) HTI(1) IND(5) ITA(2) ITAS(1) LBY(1) LVA(3) MEX(46) MTQ(3) MWI(1) NLD(15) NOR(2) RUS(1) SWE(1) USA(90) USA (291) USA (111) ZAF(29) ZWE(1)
226	777776777763771	3	MANU2	BEL(1) USA (2)
405	777777000000011	12	ZERO	DNK(1) USA(3) VNM(8)
1790	777777000360771	3	T1	AUT(1) BEL(1) EGY(1)
880	777777000760771	7	T1	MEX(2) USA(3) VEN(1) ZAF(1)
619	777777002000011	3	U	USA (1) USA (1) VNM(1)
182	777777004020771	2	H1	NLD(1) SEN(1)
714	777777006720771	4	H3-LAM8	HTI(4)
1836	777777007660751	3	T1	ARG(2) FXX(1)
368	777777007720731	2	H3	AUT(2)
371	777777007720771	9	H3	AUT(7) CZE(1) USA (1)
1424	777777010003371	2	EAI7_BGD2	BGD(2)
949	777777017720771	2	H3	PER(2)
893	777777017760771	2	T1	SEN(1) USA (1)
1328	777777034020771	4	H1	HTI(2) USA(2)
66	777777037720671	2	H3-LAM9	GUF(2)
67	777777037720771	25	H3-LAM9	GLP(2) GUF(4) HTI(1) MEX(1) USA (17)
174	777777037760771	11	T1	FXX(5) HTI(1) RUS(1) USA (3) VNM(1)
1233	777777077760771	3	T1	MEX(2) USA(1)
57	777777143760771	4	LAM10_CAM	FXX(2) USA(2)
1573	777777177413371	3	EAI5	USA(2) VNM(1)
1252	777777177760771	2	T1	AUS(1) RUS(1)
1768	777777207560771	2	LAM6	CUB(1) MYS(1)
1277	777777207760771	6	LAM9	ARG(2) BRA(2) USA(2)
94	777777347560471	5	T4_CEU1	GUF(5)
1575	777777347760400	2	T4	USA(2)
1799	777777347760431	3	T4_CEU1	AUT(1) BEL(1) HUN(1)
39	777777347760471	67	T4_CEU1	ARM(2) AUT(21) BEL(1) CZE(1) DEU(6) FXX(1) GBR(1) ITA(1) NLD(2) POL(5) USA (7) VNM(1) ZAF(18)
227	777777370020771	5	H3	USA (5)
1139	777777374020771	3	H1	AUT(1) SWE(1) USA (1)
1774	777777376760771	2	T4	BEL(2)
1657	777777377000371	2	U	IDN(1) POL(1)
1562	777777377400171	3	U	BEL(1) FIN(1) POL(1)
1919	777777377720731	2	H3	ITA(2)
183	777777377720771	19	H3	CZE(2) DEU(1) ESP(4) FXX(1) HUN(1) ITA(4) SEN(2) USA (4)
1582	777777377760700	2	T1	DEU(1) GLP(1)
1077	777777377760731	4	T2	AUT(1) IDN(2) VNM(1)
40	777777377760771	87	T4	AUT(14) BEL(1) CZE(7) DEU(5) DNK(4) ESP(1) ETH(2) FIN(4) FXX(10) GBR(2) GEO(1) GLP(4) IRN(1) ITA(1) ITAS(1) LBY(1) MDG(1) NLD(2) POL(1) RUS(4) USA(20)
1460	777777377763771	3	MANU2	GEO(2) RUS(1)
1559	777777400000171	5	U	MTQ(1) POL(3) USA (1)
1282	777777400020771	7	H3	CZE(1) ITA(5) USA(1)
590	777777403760730	2	T2	EAFR(1) FXX(1)
1688	777777403760771	4	T1	BRA(1) CZE(1) ITA(1) USA(1)
1644	777777404020771	3	H1	CZE(1) FXX(1) USA (1
1140	777777404120771	7	H3	AUT(7)
1261	777777404760731	8	LAM7_TUR	AUT(1) BEL(2) DNK(1) FXX(1) TUR(2) USA (1)
1937	777777404760760	2	LAM7_TUR	TUR(2)
41	777777404760771	127	LAM7_TUR	AUT(5) BEL(1) CZE(2) DEU(6) DNK(7) EGY(2) ETH(7) FIN(2) FXX(11) GBR(6) GUF(1) ITA(1) NLD(28) NOR(4) NZL(2) POL(1) ROM(1) SAU(1) SWE(2) TUR(33) USA(4)
1355	777777407560731	11	T2	ARG(1) ITA(7) PER(1) USA (2)
768	777777407720771	6	H3	AUT(1) DEU(2) NLD(1) USA (2)
1800	777777407760771	3	T1	CHN(1) MWI(1) USA (1)
1643	777777423560771	3	T1	FXX(1) USA(2)
1051	777777437760771	12	T1	AZE(1) NLD(1) POL(10)
824	777777457760771	3	T5	BRA(1) ESP(1) PER(1)
607	777777467400000	2	U	FXX(2)
769	777777474020771	2	H1	AUT(1) CUB(1)
160	777777477400001	13	U	ARG(1) BEL(2) CUB(1) ESP(2) ITA(2) ITAS(1) USA (4)
892	777777477413771	3	EAI5	USA(3)
305	777777477760631	2	H37Rv	USA (2
1647	777777477760731	3	H37Rv/T2	AUT(1) DEU(1) FXX(1)
451	777777477760771	115	H37Rv	?(1) ARG(2) AUT(1) FXX(2) GBR(5) GLP(1) IND(1) NAM(2) NLD(1) PRT(2) RUS(1) SAU(4) SEN(1) USA(86) VEN(4) VNM(1)
1773	777777547760471	10	T1	HUN(10)
785	777777554760771	2	T5_MAD2	FXX(1) NLD(1)
58	777777557760771	95	T5_MAD2	ARG(8) AUT(2) BEL(1) BRA(9) CUB(5) DZA(1) ESP(11) FXX(4) GUF(1) ITA(1) MEX(1) NLD(4) PRT(2) USA(41) VEN(4)
314	777777570020731	4	H3	CAF(4)
369	777777574020771	3	H1	AUT(2) DEU(1)
1893	777777577620771	2	H3	BRA(2)
1804	777777577720771	3	H3	AUT(1) ITA(1) USA(1)
736	777777577760731	12	T2	NLD(12)
120	777777577760771	5	T1	AUT(2) FXX(3)
402	777777600000000	14	U	AUS(1) AUT(1) BRA(3) DZA(1) FXX(1) GEO(3) PRT(1) RUS(1) USA(2)
825	777777600000171	4	U	AUT(2) BRA(1) GBR(1)
274	777777600000371	7	U	AUT(2) GUF(1) ITAS(1) RUS(1) SAU(1) USA (1)
397	777777600000771	12	U	ARG(1) BRA(2) ITAS(1) USA (4) VEN(4)
275	777777600020771	6	H3	BEL(1) BRA(1) CUB(1) ITAS(2) USA (1)
1660	777777600060731	3	T2	ARG(1) BRA(2)
911	777777600060771	20	T1	ARG(1) USA (19)
392	777777600160731	3	T2	ARG(1) BRA(2)
74	777777600160771	6	T1	CUB(3) MDG(3)
1664	777777600560731	3	T2	BRA(3)
1147	777777600560771	2	T1	USA (1) VEN(1)
1144	777777600760771	3	T1	USA (2) VEN(1)
306	777777601560771	16	T1	BEL(3) CAF(2) FXX(2) GBR(2) GUF(1) USA (6)
1630	777777601760771	2	T1	NLD(1) USA(1)
810	777777602060771	2	T1	ZWE(2)
1493	777777603413700	2	EAI5	GBR(1) MYS(1)
228	777777603560771	5	T1	USA (5)
229	777777603760371	2	U	USA (2)
230	777777603760771	15	T1	GNB(1) HTI(1) USA (13)
811	777777604060731	12	LAM4	MOZ(1) USA(1) ZAF(2) ZWE(8)
1620	777777604360771	4	LAM9	BEL(1) ESP(1) USA(2)
1906	777777605560771	3	LAM6	BRA(3)
509	777777605760771	3	LAM9	FXX(1) USA (2)
132	777777606000031	7	U	CUB(1) ECU(1) MEX(1) USA(3) VEN(1)
812	777777606060571	3	LAM11_ZWE	ZWE(3)
813	777777606060631	7	LAM11_ZWE	USA(1) ZWE(6)
814	777777606060671	4	LAM11_ZWE	ZWE(4)
815	777777606060731	14	LAM11_ZWE	BEL(1) MWI(2) USA(2) ZWE(9)
59	777777606060771	133	LAM11_ZWE	AUT(1) BEL(2) BRA(1) COM(1) DNK(3) FXX(2) GBR(1) GLP(1) IRN(1) KEN(3) MDG(7) MUS(2) MWI(16) NLD(1) NZL(2) PRT(1) REU(1) RUS(1) SWE(1) USA (8) ZWE(77)
452	777777606360771	7	LAM9	USA (7)
290	777777606760771	17	LAM8	AUS(1) FXX(1) GLP(1) IDN(9) MYS(1) USA (4)
534	777777607400000	4	U	ESP(1) GNB(3)
1895	777777607460731	2	LAM4	BRA(2)
1663	777777607520771	2	H3-LAM6	BRA(2)
1758	777777607540771	2	U	BRA(1) PRT(1)
396	777777607560371	10	U	BRA(7) ITA(2) PRT(1)
95	777777607560731	11	LAM6	BRA(2) GBR(1) GUF(2) USA(6)
64	777777607560771	157	LAM6	ARG(5) AUS(1) AUT(5) BEL(4) BRA(26) COM(1) CZE(2) DZA(1) FXX(1) GBR(1) GUF(13) IND(1) IRN(1) ITA(1) MDG(1) MEX(2) MTQ(1) MWI(2) MYS(2) PRT(14) SEN(1) USA(67) VEN(4)
1689	777777607600031	2	U	BRA(1) MTQ(1)
891	777777607660771	12	LAM9	ESP(1) POL(7) RUS(1) USA (3)
1241	777777607700771	28	U	ARG(13) BRA(3) GUF(1) USA(2) ZAF(9)
335	777777607720771	27	H3	AUT(3) CZE(5) ESP(1) FXX(4) ITA(4) MTQ(2) ROM(1) RUS(3) SWE(1) USA (2) VNM(1)
1290	777777607723771	3	MANU2	RUS(3)
161	777777607740771	4	U	ITA(1) NLD(1) RUS(1) USA(1)
933	777777607760071	5	U	FIN(1) RUS(2) USA (2)
1070	777777607760371	8	U	AUT(1) BEL(1) BGD(1) HTI(1) ITA(1) MAR(1) USA (2)
1106	777777607760400	11	LAM9	ITAS(1) PER(1) PRT(9)
916	777777607760411	4	LAM9	FIN(2) USA(2)
614	777777607760431	2	LAM9	FXX(1) USA (1)
737	777777607760571	7	LAM9	FXX(1) ITA(3) MAR(1) VEN(2)
398	777777607760631	9	LAM9	AUT(1) BRA(2) CUB(1) MEX(2) USA(3)
162	777777607760671	13	LAM9	ARG(1) FIN(1) FXX(2) ITA(1) ITAS(2) USA(1) VEN(5)
163	777777607760700	21	LAM9	HTI(3) ITA(4) MEX(2) USA (12)
1530	777777607760711	6	LAM9	ESP(3) USA (3)
60	777777607760731	83	LAM4	ARG(2) AUT(3) BEL(2) BRA(10) CUB(4) DEU(2) DZA(2) ESP(1) FXX(8) GBR(1) GNB(5) GUF(2) ITA(2) ITAS(1) MAR(3) MDG(1) MEX(3) MOZ(1) NLD(1) PRT(2) RUS(1) SEN(2) USA(11) VEN(11) ZAF(1) ZWE(1)
1154	777777607760751	7	LAM9	AUS(1) CZE(1) HTI(1) USA (4)
738	777777607760760	4	LAM9	ARG(3) LVA(1)
1074	777777607760761	7	LAM9	DEU(2) ITAS(1) MAR(2) USA(2)
1933	777777607760770	2	LAM9	ITA(1) USA (1)
42	777777607760771	1227	LAM9	ARG(69) ARM(4) AUS(3) AUT(25) AZE(4) BEL(25) BGD(28) BRA(54) CAF(3) CMR(1) CUB(19) CZE(4) DEU(6) DZA(11) EGY(1) ESP(14) EST(5) ETH(3) FIN(25) FXX(45) GBR(5) GEO(7) GLP(11) GNB(22) GUF(15) HTI(27) IDN(1) IND(3) IRN(2) ITA(77) ITAS(17) KAZ(4) KEN(8) LBY(2) LVA(19) MAR(27) MDG(4) MEX(25) MOZ(2) MTQ(3) MWI(5) MYS(1) NLD(32) NZL(26) PER(7) PHL(5) POL(6) PRT(44) PYF(1) RUS(68) SAU(2) SEN(2) SWE(12) THA(1) TUN(1) TUR(1) USA (259) VEN(90) VNM(1) ZAF(7) ZWE(26)
1247	777777607763771	10	MANU2	IND(1) LVA(1) RUS(8)
1814	777777617560571	2	T1	AUT(2)
1563	777777636760771	2	T1	NLD(1) POL(1)
1812	777777637720771	3	H3	AUT(2) VEN(1)
1234	777777644720771	6	H3	USA(6)
1892	777777660000171	2	U	BRA(2)
573	777777663560771	6	T1	MEX(2) USA (3) VEN(1)
1831	777777663740771	2	U	ARG(2)
932	777777663760731	4	T2	BEL(1) FIN(1) RUS(1) USA (1)
253	777777663760771	19	T1	ARG(5) DNK(1) FIN(1) FXX(1) IDN(4) NLD(1) POL(1) RUS(3) USA(1) VEN(1)
378	777777667760771	3	T1	GEO(1) VEN(2)
1523	777777667763771	2	MANU2	MDG(2)
1450	777777670000771	2	U	GEO(2)
384	777777674020771	4	H1	AUT(1) CZE(1) FXX(1) USA(1)
1494	777777676760771	5	T1	BEL(1) IDN(3) MYS(1)
